merchant_id,name,mcc,mcc_description,country,website,onboarding_date,status,payout_schedule,fee_rate_percent,fixed_fee_cents,risk_level
M00001,Lumina Travel Inc.,7399,Business Services,JO,https://www.luminatravelinc..com,2025-04-18,active,weekly,2.19,30,low
M00002,Pioneer Tech LLC,5812,Restaurants,TR,https://www.pioneertechllc.com,2025-06-06,active,daily,2.92,25,low
M00003,Velocity Foods Inc.,5732,Electronics Stores,CA,https://www.velocityfoodsinc..com,2025-03-17,active,weekly,2.83,30,low
M00004,Atlas Digital Inc.,7999,Recreation,NL,https://www.atlasdigitalinc..com,2025-02-01,active,weekly,2.16,25,medium
M00005,Quanta Foods Sàrl,6012,Financial Institutions,AE,https://www.quantafoodssàrl.com,2025-03-31,inactive,daily,2.37,30,medium
M00006,B&H Photo Video,5732,Electronics Stores,US,https://www.bhphotovideo.com,2025-05-14,active,daily,2.24,20,low
M00007,Nimbus Travel GmbH,5734,Software Stores,SA,https://www.nimbustravelgmbh.com,2025-01-22,active,daily,2.35,10,low
M00008,Nimbus Retail Ltd,7999,Recreation,US,https://www.nimbusretailltd.com,2025-02-07,active,biweekly,2.45,35,medium
M00009,Blue Bottle Coffee,5812,Restaurants,US,https://www.bluebottlecoffee.com,2025-01-25,active,daily,2.48,30,low
M00010,Orion Games Ltd,7999,Recreation,GB,https://www.oriongamesltd.com,2025-05-14,active,weekly,2.39,40,low
M00011,Vertex Tech GmbH,7999,Recreation,SA,https://www.vertextechgmbh.com,2025-01-05,active,biweekly,2.63,20,low
M00012,Helix Travel BV,6012,Financial Institutions,GB,https://www.helixtravelbv.com,2025-03-28,active,daily,2.54,20,low
M00013,Orion Pay Sàrl,4812,Telecom Equip,CA,https://www.orionpaysàrl.com,2025-05-06,active,daily,2.2,30,medium
M00014,Helix Pay Sàrl,5732,Electronics Stores,FR,https://www.helixpaysàrl.com,2025-06-15,active,daily,2.12,25,high
M00015,Lumina Games FZE,5812,Restaurants,DE,https://www.luminagamesfze.com,2025-06-24,active,weekly,2.38,20,medium
M00016,Apex Foods LLC,7399,Business Services,AE,https://www.apexfoodsllc.com,2025-03-08,active,daily,2.43,35,medium
M00017,Summit Travel FZE,5999,Specialty Retail,SA,https://www.summittravelfze.com,2025-05-29,active,weekly,2.57,20,medium
